Age,Attrition,Travelling Frequency,Department,Education,EducationField,EmployeeCount,Employee Id,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Monthly Income,OverTime,PercentSalaryHike,PerformanceRating,Standard Working Hours,Total Experience,Total Trainings Last Year,WorkLifeBalance, Years In Current Company,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Travel_Rarely,Sales,2,Life Sciences,1,1,Female,94,2,Sales Executive,4,Single,19479,Yes,11,3,80,8,0,1,6,4,0
49,No,Travel_Frequently,Research & Development,1,Life Sciences,1,2,Male,61,2,Research Scientist,2,Married,24907,No,23,4,80,10,3,3,10,7,1
37,Yes,Travel_Rarely,Research & Development,2,Other,1,4,Male,92,1,Laboratory Technician,3,Single,2396,Yes,15,3,80,7,3,3,0,0,0
33,No,Travel_Frequently,Research & Development,4,Life Sciences,1,5,Female,56,1,Research Scientist,3,Married,23159,Yes,11,3,80,8,3,3,8,7,3
27,No,Travel_Rarely,Research & Development,1,Medical,1,7,Male,40,1,Laboratory Technician,2,Married,16632,No,12,3,80,6,3,3,2,2,2
32,No,Travel_Frequently,Research & Development,2,Life Sciences,1,8,Male,79,1,Laboratory Technician,4,Single,11864,No,13,3,80,8,2,2,7,7,3
59,No,Travel_Rarely,Research & Development,3,Medical,1,10,Female,81,1,Laboratory Technician,1,Married,9964,Yes,20,4,80,12,3,2,1,0,0
30,No,Travel_Rarely,Research & Development,1,Life Sciences,1,11,Male,67,1,Laboratory Technician,3,Divorced,13335,No,22,4,80,1,2,3,1,0,0
38,No,Travel_Frequently,Research & Development,3,Life Sciences,1,12,Male,44,3,Manufacturing Director,3,Single,8787,No,21,4,80,10,2,3,9,7,1
36,No,Travel_Rarely,Research & Development,3,Medical,1,13,Male,94,2,Healthcare Representative,3,Married,16577,No,13,3,80,17,3,2,7,7,7
35,No,Travel_Rarely,Research & Development,3,Medical,1,14,Male,84,1,Laboratory Technician,2,Married,16479,No,13,3,80,6,5,3,5,4,0
29,No,Travel_Rarely,Research & Development,2,Life Sciences,1,15,Female,49,2,Laboratory Technician,3,Single,12682,Yes,12,3,80,10,3,3,9,5,0
31,No,Travel_Rarely,Research & Development,1,Life Sciences,1,16,Male,31,1,Research Scientist,3,Divorced,15170,No,17,3,80,5,1,2,5,2,4
34,No,Travel_Rarely,Research & Development,2,Medical,1,18,Male,93,1,Laboratory Technician,4,Divorced,8758,No,11,3,80,3,2,3,2,2,1
28,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,19,Male,50,1,Laboratory Technician,3,Single,12947,Yes,14,3,80,6,4,3,4,2,0
29,No,Travel_Rarely,Research & Development,4,Life Sciences,1,20,Female,51,3,Manufacturing Director,1,Divorced,10195,No,11,3,80,10,1,3,10,9,8
32,No,Travel_Rarely,Research & Development,2,Life Sciences,1,21,Male,80,1,Research Scientist,2,Divorced,15053,Yes,12,3,80,7,5,2,6,2,0
22,No,Non-Travel,Research & Development,2,Medical,1,22,Male,96,1,Laboratory Technician,4,Divorced,7324,Yes,13,3,80,1,2,2,1,0,0
53,No,Travel_Rarely,Sales,4,Life Sciences,1,23,Female,78,4,Manager,4,Married,22021,No,16,3,80,31,3,3,25,8,3
38,No,Travel_Rarely,Research & Development,3,Life Sciences,1,24,Male,45,1,Research Scientist,4,Single,4306,Yes,11,3,80,6,3,3,3,2,1
24,No,Non-Travel,Research & Development,2,Other,1,26,Female,96,2,Manufacturing Director,3,Divorced,8232,No,18,3,80,5,5,2,4,2,1
36,Yes,Travel_Rarely,Sales,4,Life Sciences,1,27,Male,82,1,Sales Representative,1,Single,6986,No,23,4,80,10,4,3,5,3,0
34,No,Travel_Rarely,Research & Development,4,Life Sciences,1,28,Female,53,3,Research Director,2,Single,21293,No,11,3,80,13,4,3,12,6,2
21,No,Travel_Rarely,Research & Development,2,Life Sciences,1,30,Male,96,1,Research Scientist,4,Single,19281,No,14,3,80,0,6,3,0,0,0
34,Yes,Travel_Rarely,Research & Development,1,Medical,1,31,Male,83,1,Research Scientist,1,Single,17102,No,11,3,80,8,2,3,4,2,1
53,No,Travel_Rarely,Research & Development,3,Other,1,32,Female,58,5,Manager,3,Divorced,10735,No,11,3,80,26,3,2,14,13,4
32,Yes,Travel_Frequently,Research & Development,1,Life Sciences,1,33,Female,72,1,Research Scientist,1,Single,4681,Yes,22,4,80,10,5,3,10,2,6
42,No,Travel_Rarely,Sales,4,Marketing,1,35,Male,48,2,Sales Executive,2,Married,21173,No,11,3,80,10,2,3,9,7,4
44,No,Travel_Rarely,Research & Development,4,Medical,1,36,Female,42,3,Healthcare Representative,4,Married,2094,No,14,3,80,24,4,3,22,6,5
46,No,Travel_Rarely,Sales,4,Marketing,1,38,Female,83,5,Manager,1,Single,22822,No,12,3,80,22,2,2,2,2,2
33,No,Travel_Rarely,Research & Development,3,Medical,1,39,Male,78,1,Laboratory Technician,4,Single,6670,No,11,3,80,7,3,3,1,1,0
44,No,Travel_Rarely,Research & Development,4,Other,1,40,Male,41,2,Healthcare Representative,4,Married,19121,Yes,13,3,80,9,5,4,4,2,1
30,No,Travel_Rarely,Research & Development,2,Medical,1,41,Male,83,1,Laboratory Technician,3,Single,16117,No,13,3,80,10,5,3,10,0,1
39,Yes,Travel_Rarely,Sales,3,Technical Degree,1,42,Male,56,2,Sales Representative,4,Married,3335,No,14,3,80,19,6,4,1,0,0
24,Yes,Travel_Rarely,Research & Development,3,Medical,1,45,Male,61,1,Research Scientist,4,Married,3020,Yes,16,3,80,6,2,2,2,0,2
43,No,Travel_Rarely,Research & Development,2,Medical,1,46,Female,72,1,Research Scientist,3,Divorced,21923,No,12,3,80,6,3,2,5,3,1
50,Yes,Travel_Rarely,Sales,2,Marketing,1,47,Male,86,1,Sales Representative,3,Married,3810,Yes,14,3,80,3,2,3,3,2,0
35,No,Travel_Rarely,Sales,3,Marketing,1,49,Female,97,1,Sales Representative,4,Married,9687,No,13,3,80,2,3,3,2,2,2
36,No,Travel_Rarely,Research & Development,4,Life Sciences,1,51,Female,82,1,Research Scientist,1,Married,13072,Yes,14,3,80,6,3,4,1,1,0
33,No,Travel_Frequently,Sales,3,Life Sciences,1,52,Female,42,2,Sales Executive,1,Married,3193,No,19,3,80,10,3,3,5,3,1
35,No,Travel_Rarely,Research & Development,2,Other,1,53,Male,75,1,Laboratory Technician,4,Divorced,10910,No,12,3,80,1,3,3,1,0,0
27,No,Travel_Rarely,Research & Development,4,Life Sciences,1,54,Female,33,1,Laboratory Technician,1,Divorced,19715,No,13,3,80,1,6,3,1,0,0
26,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,55,Male,48,1,Laboratory Technician,3,Single,10558,No,12,3,80,1,2,2,1,0,0
27,No,Travel_Frequently,Sales,3,Life Sciences,1,56,Male,37,3,Sales Executive,3,Single,2975,No,15,3,80,9,0,3,9,8,1
30,No,Travel_Frequently,Research & Development,2,Medical,1,57,Female,58,2,Laboratory Technician,4,Single,10781,No,23,4,80,12,2,3,12,8,3
41,Yes,Travel_Rarely,Research & Development,3,Technical Degree,1,58,Female,49,5,Research Director,3,Married,16280,No,12,3,80,23,0,3,22,15,15
34,No,Non-Travel,Sales,4,Marketing,1,60,Male,72,2,Sales Executive,3,Single,10034,No,20,4,80,10,2,3,9,5,8
37,No,Travel_Rarely,Research & Development,2,Life Sciences,1,61,Male,73,1,Research Scientist,2,Married,10227,No,21,4,80,8,1,3,1,0,0
46,No,Travel_Frequently,Sales,4,Marketing,1,62,Male,98,2,Sales Executive,4,Single,20445,Yes,21,4,80,14,4,3,9,6,0
35,No,Travel_Rarely,Research & Development,1,Life Sciences,1,63,Male,36,1,Laboratory Technician,4,Married,4892,No,19,3,80,1,2,3,1,0,0
48,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,64,Male,98,3,Laboratory Technician,3,Single,19294,Yes,13,3,80,23,2,3,1,0,0
28,Yes,Travel_Rarely,Research & Development,4,Technical Degree,1,65,Male,50,1,Laboratory Technician,3,Single,11179,Yes,13,3,80,2,3,2,2,2,2
44,No,Travel_Rarely,Sales,5,Marketing,1,68,Female,75,2,Sales Executive,1,Divorced,4009,Yes,21,4,80,9,2,2,4,3,1
35,No,Non-Travel,Research & Development,2,Medical,1,70,Male,79,3,Healthcare Representative,1,Married,8302,Yes,13,3,80,10,3,3,4,0,2
26,No,Travel_Rarely,Sales,3,Marketing,1,72,Female,47,2,Sales Executive,4,Married,21436,Yes,19,3,80,5,2,2,2,2,0
33,No,Travel_Frequently,Research & Development,2,Life Sciences,1,73,Female,98,3,Research Director,4,Single,15146,Yes,12,3,80,15,1,3,15,14,8
35,No,Travel_Frequently,Sales,5,Life Sciences,1,74,Male,71,3,Sales Executive,1,Married,11031,No,22,4,80,9,3,2,9,8,1
